Chrm	SV_start	SV_end	ID	size	strand	type	ref_gap_size	query_gap_size	query_Chrm	query_strand	method	query_SV_start	query_SV_end
Chromosome09_Phase0	26867845	26867845	Assemblytics_w_1	64	+	Insertion	0	64	000012F_007	+	within_alignment	43020	43084
Chromosome01_Phase0	37998659	37998728	Assemblytics_w_2	69	+	Deletion	69	0	000009F_003	+	within_alignment	67144	67144
Chromosome01_Phase0	36998354	36998414	Assemblytics_w_3	60	+	Deletion	60	0	000006F_001	+	within_alignment	79047	79047
Chromosome01_Phase0	37058363	37058438	Assemblytics_w_4	75	+	Deletion	75	0	000006F_001	+	within_alignment	27606	27606
Chromosome01_Phase0	37070952	37070952	Assemblytics_w_5	50	+	Insertion	0	50	000006F_001	+	within_alignment	18056	18106
Chromosome16_Phase0	27805688	27805738	Assemblytics_w_6	50	+	Deletion	50	0	000020F_008	+	within_alignment	6050	6050
Chromosome02_Phase0	10516509	10516580	Assemblytics_w_7	71	+	Deletion	71	0	000011F_024	+	within_alignment	23373	23373
Chromosome02_Phase0	10568389	10568389	Assemblytics_w_8	57	+	Insertion	0	57	000011F_011	+	within_alignment	18069	18126
Chromosome02_Phase0	10618440	10618440	Assemblytics_w_9	69	+	Insertion	0	69	000011F_025	+	within_alignment	61793	61862
Chromosome02_Phase0	10635342	10635423	Assemblytics_w_10	81	+	Deletion	81	0	000011F_025	+	within_alignment	25720	25720
Chromosome02_Phase0	12707121	12707121	Assemblytics_w_11	62	+	Insertion	0	62	000015F_010	+	within_alignment	67586	67648
Chromosome02_Phase0	12745944	12746006	Assemblytics_w_12	62	+	Deletion	62	0	000015F_010	+	within_alignment	34331	34331
Chromosome02_Phase0	12766037	12766100	Assemblytics_w_13	63	+	Deletion	63	0	000015F_010	+	within_alignment	17024	17024
Chromosome01_Phase0	37838947	37838947	Assemblytics_w_14	66	+	Insertion	0	66	000009F_002	+	within_alignment	6386	6452
Chromosome02_Phase0	9951608	9951608	Assemblytics_w_15	52	+	Insertion	0	52	000011F_006	+	within_alignment	96914	96966
Chromosome16_Phase0	28338537	28338537	Assemblytics_w_16	52	+	Insertion	0	52	000020F_004	+	within_alignment	117775	117827
Chromosome04_Phase0	31004650	31004650	Assemblytics_w_17	56	+	Insertion	0	56	000000F_008	+	within_alignment	65403	65459
Chromosome04_Phase0	31018533	31018533	Assemblytics_w_18	72	+	Insertion	0	72	000000F_008	+	within_alignment	79246	79318
Chromosome04_Phase0	31111875	31111875	Assemblytics_w_19	78	+	Insertion	0	78	000000F_008	+	within_alignment	179452	179530
Chromosome09_Phase0	26923693	26923693	Assemblytics_w_20	75	+	Insertion	0	75	000012F_001	+	within_alignment	99198	99273
Chromosome02_Phase0	8519884	8519884	Assemblytics_w_21	79	+	Insertion	0	79	000026F_007	+	within_alignment	4694	4773
Chromosome01_Phase0	39022401	39022465	Assemblytics_w_22	64	+	Deletion	64	0	000009F_009	+	within_alignment	88354	88354
Chromosome02_Phase0	7076038	7076112	Assemblytics_w_23	74	+	Deletion	74	0	000021F_003	+	within_alignment	78714	78714
Chromosome02_Phase0	9469187	9469187	Assemblytics_w_24	78	+	Insertion	0	78	000011F_002	+	within_alignment	108612	108690
Chromosome02_Phase0	9476468	9476540	Assemblytics_w_25	72	+	Deletion	72	0	000011F_002	+	within_alignment	115962	115962
Chromosome04_Phase0	30056432	30056491	Assemblytics_w_26	59	+	Deletion	59	0	000000F_004	+	within_alignment	47240	47240
Chromosome04_Phase0	30157697	30157697	Assemblytics_w_27	54	+	Insertion	0	54	000000F_004	+	within_alignment	153693	153747
Chromosome04_Phase0	30161137	30161200	Assemblytics_w_28	63	+	Deletion	63	0	000000F_004	+	within_alignment	157179	157179
Chromosome04_Phase0	30166299	30166299	Assemblytics_w_29	78	+	Insertion	0	78	000000F_004	+	within_alignment	162271	162349
Chromosome04_Phase0	30223211	30223282	Assemblytics_w_30	71	+	Deletion	71	0	000000F_004	+	within_alignment	219935	219935
Chromosome02_Phase0	10075479	10075536	Assemblytics_w_31	57	+	Deletion	57	0	000011F_003	+	within_alignment	13937	13937
Chromosome02_Phase0	13429902	13429953	Assemblytics_w_32	51	+	Deletion	51	0	000015F_007	+	within_alignment	13168	13168
Chromosome04_Phase0	32004155	32004155	Assemblytics_w_33	55	+	Insertion	0	55	000000F_001	+	within_alignment	74621	74676
Chromosome01_Phase0	39052673	39052728	Assemblytics_w_34	55	+	Deletion	55	0	000009F_010	+	within_alignment	18263	18263
Chromosome09_Phase0	26476095	26476179	Assemblytics_w_35	84	+	Deletion	84	0	000012F_006	+	within_alignment	20710	20710
Chromosome14_Phase0	6134469	6134527	Assemblytics_w_36	58	+	Deletion	58	0	000025F_040	+	within_alignment	59830	59830
Chromosome14_Phase0	6158773	6158773	Assemblytics_w_37	68	+	Insertion	0	68	000025F_040	+	within_alignment	44627	44695
Chromosome04_Phase0	31497796	31497796	Assemblytics_w_38	74	+	Insertion	0	74	000000F_010	+	within_alignment	12188	12262
Chromosome11_Phase0	7704143	7704217	Assemblytics_w_39	74	+	Deletion	74	0	000018F_008	+	within_alignment	112544	112544
Chromosome02_Phase0	10458462	10458544	Assemblytics_w_40	82	+	Deletion	82	0	000011F_009	+	within_alignment	46892	46892
Chromosome02_Phase0	10461883	10461935	Assemblytics_w_41	52	+	Deletion	52	0	000011F_009	+	within_alignment	50218	50218
Chromosome02_Phase0	7236734	7236734	Assemblytics_w_42	62	+	Insertion	0	62	000021F_004	+	within_alignment	40496	40558
Chromosome02_Phase0	7258261	7258261	Assemblytics_w_43	52	+	Insertion	0	52	000021F_004	+	within_alignment	68653	68705
Chromosome11_Phase0	981192	981192	Assemblytics_w_44	80	+	Insertion	0	80	000013F_015	+	within_alignment	31329	31409
Chromosome11_Phase0	987432	987432	Assemblytics_w_45	60	+	Insertion	0	60	000013F_015	+	within_alignment	37633	37693
Chromosome11_Phase0	28553765	28553817	Assemblytics_w_46	52	+	Deletion	52	0	000037F_004	+	within_alignment	184426	184426
Chromosome11_Phase0	1657672	1657730	Assemblytics_w_47	58	+	Deletion	58	0	000013F_004	+	within_alignment	20829	20829
Chromosome11_Phase0	1823150	1823204	Assemblytics_w_48	54	+	Deletion	54	0	000013F_005	+	within_alignment	160607	160607
Chromosome02_Phase0	7803882	7803934	Assemblytics_w_49	52	+	Deletion	52	0	000026F_001	+	within_alignment	34128	34128
Chromosome01_Phase0	33470622	33470622	Assemblytics_w_50	56	+	Insertion	0	56	000012F_004	+	within_alignment	346342	346398
Chromosome01_Phase0	33521758	33521831	Assemblytics_w_51	73	+	Deletion	73	0	000012F_004	+	within_alignment	280485	280485
Chromosome01_Phase0	33601307	33601307	Assemblytics_w_52	50	+	Insertion	0	50	000012F_004	+	within_alignment	214816	214866
Chromosome01_Phase0	33650791	33650791	Assemblytics_w_53	63	+	Insertion	0	63	000012F_004	+	within_alignment	141383	141446
Chromosome01_Phase0	33743798	33743798	Assemblytics_w_54	63	+	Insertion	0	63	000012F_004	+	within_alignment	37914	37977
Chromosome04_Phase0	2978470	2978470	Assemblytics_w_55	63	+	Insertion	0	63	000007F_003	+	within_alignment	124844	124907
Chromosome04_Phase0	3112906	3112906	Assemblytics_w_56	86	+	Insertion	0	86	000007F_003	+	within_alignment	302651	302737
Chromosome04_Phase0	31365046	31365110	Assemblytics_w_57	64	+	Deletion	64	0	000000F_009	+	within_alignment	71871	71871
Chromosome04_Phase0	31375071	31375071	Assemblytics_w_58	59	+	Insertion	0	59	000000F_009	+	within_alignment	82143	82202
Chromosome01_Phase0	38495119	38495204	Assemblytics_w_59	85	+	Deletion	85	0	000009F_008	+	within_alignment	174228	174228
